Jaar week,AgeGroup,Hospitalisations
26 apr. 2021 t/m 2 mei 2021 (Week 17),06–19,0.01
26 apr. 2021 t/m 2 mei 2021 (Week 17),80–++,0.157
26 apr. 2021 t/m 2 mei 2021 (Week 17),60–79,0.377
26 apr. 2021 t/m 2 mei 2021 (Week 17),40–59,0.325
3 mei 2021 t/m 9 mei 2021 (Week 18),06–19,0.01
3 mei 2021 t/m 9 mei 2021 (Week 18),00–05,0.012
3 mei 2021 t/m 9 mei 2021 (Week 18),80–++,0.158
3 mei 2021 t/m 9 mei 2021 (Week 18),60–79,0.321
3 mei 2021 t/m 9 mei 2021 (Week 18),40–59,0.367
3 mei 2021 t/m 9 mei 2021 (Week 18),20–39,0.132
10 mei 2021 t/m 16 mei 2021 (Week 19),40–59,0.366
10 mei 2021 t/m 16 mei 2021 (Week 19),20–39,0.135
10 mei 2021 t/m 16 mei 2021 (Week 19),60–79,0.333
10 mei 2021 t/m 16 mei 2021 (Week 19),06–19,0.008
10 mei 2021 t/m 16 mei 2021 (Week 19),80–++,0.139
10 mei 2021 t/m 16 mei 2021 (Week 19),00–05,0.018
17 mei 2021 t/m 23 mei 2021 (Week 20),80–++,0.121
17 mei 2021 t/m 23 mei 2021 (Week 20),00–05,0.015
17 mei 2021 t/m 23 mei 2021 (Week 20),60–79,0.292
17 mei 2021 t/m 23 mei 2021 (Week 20),40–59,0.391
17 mei 2021 t/m 23 mei 2021 (Week 20),20–39,0.161
17 mei 2021 t/m 23 mei 2021 (Week 20),06–19,0.02
24 mei 2021 t/m 30 mei 2021 (Week 21),00–05,0.019
24 mei 2021 t/m 30 mei 2021 (Week 21),40–59,0.404
